,Tm,Year,ProjectedQBOverall,LastYrQBOverall,ProjectedWROverall,LastYrWROverall,ProjectedRBOverall,LastYrRBOverall,D_Overall
1,ARI,2001,0.6265060240963856,0.6265060240963856,0.8946360153256705,0.7573435504469987,0.8157894736842105,0.8157894736842105,0.08064516129032258
2,ARI,2002,0.9054054054054054,0.9054054054054054,0.6465184396218878,0.7014157014157014,0.8461538461538461,0.8461538461538461,0.16129032258064516
3,ARI,2003,0.6081081081081081,0.5945945945945946,0.5789473684210527,0.5507518796992481,0.6964285714285714,0.6964285714285714,0.0625
4,ARI,2004,0.6012658227848101,0.6012658227848101,0.8669064748201438,0.7302158273381295,0.7857142857142857,0.7024793388429752,0.21875
5,ARI,2005,0.782051282051282,0.6666666666666666,0.8191489361702128,0.7553191489361702,0.7024793388429752,0.8253968253968254,0.46875
6,ARI,2006,0.825,0.825,0.883210170444213,0.7578671328671329,0.9615384615384616,0.6495726495726496,0.5
7,ARI,2007,0.825,0.6266666666666667,0.9518518518518518,0.7731481481481481,0.8943089430894309,0.8943089430894309,0.25
8,ARI,2008,0.8928571428571429,0.8928571428571429,0.8554778554778554,0.8554778554778554,0.9421487603305785,0.9421487603305785,0.28125
9,ARI,2009,0.9736842105263158,0.9736842105263158,0.7111111111111111,0.7982456140350878,0.6461538461538462,0.6461538461538462,0.3125
10,ARI,2010,0.5789473684210527,0.868421052631579,0.816331627680312,0.6931423611111112,0.9029850746268657,0.9029850746268657,0.5
11,ARI,2011,0.5308641975308642,0.5308641975308642,0.6655405405405406,0.5608108108108109,0.8571428571428571,0.8571428571428571,0.125
12,ARI,2012,0.6644736842105263,0.6644736842105263,0.7774086378737541,0.7774086378737541,0.8897058823529411,0.8897058823529411,0.34375
13,ARI,2013,0.7746478873239436,0.3380281690140845,0.6617647058823529,0.6380718954248366,0.8419117647058824,0.5578231292517006,0.875
14,ARI,2014,0.7761194029850746,0.7761194029850746,0.8545059717698154,0.7752442996742671,0.8757763975155279,0.8757763975155279,0.84375
15,ARI,2015,0.7761194029850746,0.6081081081081081,0.7783333333333333,0.7177777777777777,0.9565217391304348,0.640625,0.5625
16,ARI,2016,1.0,1.0,0.8413522012578616,0.8011006289308176,0.7974683544303798,0.7974683544303798,0.8125
17,ARI,2017,0.7285714285714285,0.7285714285714285,0.7996941896024465,0.7675840978593271,0.9936708860759493,0.99375,0.8125
19,ARI,2019,0.4027777777777778,0.4027777777777778,0.6597428288822947,0.5956973293768546,0.951048951048951,0.951048951048951,0.28125
21,ARI,2021,0.8765432098765432,0.8765432098765432,0.7586206896551724,0.7650862068965517,0.9133333333333333,0.9133333333333333,0.46875
23,ATL,2001,0.6626506024096386,0.6626506024096386,0.7509578544061303,0.7982120051085569,0.8508771929824561,0.8508771929824561,0.16129032258064516
24,ATL,2002,0.7972972972972973,0.7972972972972973,0.5173745173745173,0.6196911196911197,0.7692307692307693,0.7403846153846154,0.22580645161290322
25,ATL,2003,0.8378378378378378,0.8378378378378378,0.8609022556390977,0.6961152882205514,0.8482142857142857,0.8482142857142857,0.75
26,ATL,2004,0.8378378378378378,0.45569620253164556,0.7613908872901679,0.7386091127098321,0.8482142857142857,0.8181818181818182,0.09375
27,ATL,2005,0.8205128205128205,0.8205128205128205,0.875886524822695,0.7446808510638299,0.9047619047619048,0.9047619047619048,0.53125
28,ATL,2006,0.6875,0.6875,0.81002331002331,0.775058275058275,0.9487179487179487,0.9487179487179487,0.265625
29,ATL,2007,0.36,0.7333333333333333,0.8022360355693688,0.7074074074074074,0.7967479674796748,0.7967479674796748,0.34375
30,ATL,2008,0.5595238095238095,0.5595238095238095,0.698912198912199,0.7284382284382285,0.7933884297520661,0.7933884297520661,0.125
31,ATL,2009,0.9342105263157895,0.9342105263157895,0.800682261208577,0.6701754385964912,0.9692307692307692,0.9692307692307692,0.15625
32,ATL,2010,0.75,0.75,0.7521701388888888,0.7521701388888888,0.8432835820895522,0.8432835820895522,0.53125
33,ATL,2011,0.8888888888888888,0.8888888888888888,0.8969594594594594,0.7200168918918919,0.8947368421052632,0.8947368421052632,0.625
34,ATL,2012,0.9210526315789473,0.9210526315789473,0.9274640088593576,0.9274640088593576,0.9485294117647058,0.9485294117647058,0.6875
35,ATL,2013,0.9436619718309859,0.9436619718309859,0.9493464052287581,0.9553376906318083,0.8435374149659864,0.8639455782312925,0.75
36,ATL,2014,0.7313432835820896,0.7313432835820896,0.8957122479827979,0.8653637350705754,0.48136645962732916,0.48136645962732916,0.09375
37,ATL,2015,0.8783783783783784,0.8783783783783784,0.7999999999999999,0.7999999999999999,0.240625,0.5203125000000001,0.40625
38,ATL,2016,0.9066666666666666,0.9066666666666666,0.6614255765199162,0.6205450733752621,0.6566455696202532,0.6566455696202532,0.625
39,ATL,2017,0.9857142857142858,0.9857142857142858,0.8521916411824669,0.8521916411824669,0.9625,0.61875,0.125
