,Tm,Year,QBOverall,ProjectedQBOverall,LastYrQBOverall,WROverall,ProjectedWROverall,LastYrWROverall,RBOverall,ProjectedRBOverall,LastYrRBOverall,D_Overall
0,ARI,2000,0.5421686746987951,,,0.7547892720306514,,,0.8596491228070176,,,0.08064516129032258
1,ARI,2001,0.8918918918918919,0.5421686746987951,0.5421686746987951,0.7052767052767054,0.8946360153256705,0.7547892720306514,0.8269230769230769,0.8596491228070176,0.8596491228070176,0.16129032258064516
2,ARI,2002,0.4864864864864865,0.8918918918918919,0.8918918918918919,0.5535714285714286,0.6503695814040641,0.7052767052767054,0.6696428571428571,0.8269230769230769,0.8269230769230769,0.0625
3,ARI,2003,0.5189873417721519,0.5135135135135135,0.4864864864864865,0.7326139088729017,0.5827067669172933,0.5535714285714286,0.7107438016528925,0.6696428571428571,0.6696428571428571,0.21875
4,ARI,2004,0.5769230769230769,0.5189873417721519,0.5189873417721519,0.7420212765957447,0.8705035971223022,0.7326139088729017,0.753968253968254,0.7142857142857143,0.7107438016528925,0.46875
5,ARI,2005,0.8125,0.6538461538461539,0.5769230769230769,0.7666083916083916,0.8120567375886525,0.7420212765957447,0.6923076923076923,0.7107438016528925,0.753968253968254,0.5
6,ARI,2006,0.6066666666666667,0.8125,0.8125,0.7583333333333333,0.8736381821488205,0.7666083916083916,0.8699186991869918,0.9743589743589743,0.6923076923076923,0.25
7,ARI,2007,0.8333333333333334,0.8125,0.6066666666666667,0.8578088578088577,0.9481481481481482,0.7583333333333333,0.9090909090909091,0.8699186991869918,0.8699186991869918,0.28125
8,ARI,2008,0.9473684210526315,0.8333333333333334,0.8333333333333334,0.7890350877192982,0.8578088578088577,0.8578088578088577,0.6038461538461538,0.9090909090909091,0.9090909090909091,0.3125
9,ARI,2009,0.881578947368421,0.9473684210526315,0.9473684210526315,0.6918402777777778,0.7111111111111111,0.7890350877192982,0.9029850746268657,0.6038461538461538,0.6038461538461538,0.5
10,ARI,2010,0.43209876543209874,0.4868421052631579,0.881578947368421,0.5836148648648649,0.8034844054580897,0.6918402777777778,0.7894736842105263,0.9029850746268657,0.9029850746268657,0.125
11,ARI,2011,0.5263157894736842,0.43209876543209874,0.43209876543209874,0.7818383167220376,0.6706081081081081,0.5836148648648649,0.7279411764705882,0.7894736842105263,0.7894736842105263,0.34375
12,ARI,2012,0.22535211267605634,0.5263157894736842,0.5263157894736842,0.6388888888888888,0.7818383167220376,0.7818383167220376,0.5578231292517006,0.7279411764705882,0.7279411764705882,0.875
13,ARI,2013,0.7611940298507462,0.7746478873239436,0.22535211267605634,0.7687296416938111,0.6633986928104575,0.6388888888888888,0.8322981366459627,0.8161764705882353,0.5578231292517006,0.84375
14,ARI,2014,0.6756756756756757,0.7611940298507462,0.7611940298507462,0.6922222222222222,0.8469055374592833,0.7687296416938111,0.68125,0.8322981366459627,0.8322981366459627,0.5625
15,ARI,2015,1.0,0.7611940298507462,0.6756756756756757,0.800314465408805,0.7766666666666666,0.6922222222222222,0.7215189873417721,0.9565217391304348,0.68125,0.8125
16,ARI,2016,0.7,1.0,1.0,0.7573904179408766,0.824685534591195,0.800314465408805,1.0,0.7215189873417721,0.7215189873417721,0.8125
17,ARI,2017,0.7808219178082192,0.7,0.7,0.660031847133758,0.7844036697247707,0.7573904179408766,,0.9746835443037974,1.0,0.65625
18,ARI,2018,0.3194444444444444,0.7808219178082192,0.7808219178082192,0.6112759643916914,0.8089171974522293,0.660031847133758,0.951048951048951,1.0,,0.28125
19,ARI,2019,0.7,0.3194444444444444,0.3194444444444444,0.7485294117647059,0.6795252225519288,0.6112759643916914,,0.951048951048951,0.951048951048951,0.0625
20,ARI,2020,0.8765432098765432,0.7,0.7,0.7564655172413793,0.7813725490196078,0.7485294117647059,0.8466666666666667,,,0.46875
21,ARI,2021,0.8795180722891566,0.8765432098765432,0.8765432098765432,0.8910798122065727,0.7503591954022989,0.7564655172413793,0.8496732026143791,0.8466666666666667,0.8466666666666667,0.6875
22,ATL,2000,0.4819277108433735,,,0.7573435504469987,,,0.8859649122807017,,,0.16129032258064516
23,ATL,2001,0.6891891891891891,0.4819277108433735,0.4819277108433735,0.6240347490347491,0.7145593869731801,0.7573435504469987,0.7596153846153846,0.8859649122807017,0.8859649122807017,0.22580645161290322
24,ATL,2002,0.8243243243243243,0.6891891891891891,0.6891891891891891,0.6936090225563909,0.5222007722007722,0.6240347490347491,0.8482142857142857,0.7980769230769231,0.7596153846153846,0.75
25,ATL,2003,0.3924050632911392,0.8243243243243243,0.8243243243243243,0.737410071942446,0.8496240601503758,0.6936090225563909,0.743801652892562,0.8482142857142857,0.8482142857142857,0.09375
26,ATL,2004,0.6923076923076923,0.8243243243243243,0.3924050632911392,0.7884160756501183,0.775779376498801,0.737410071942446,0.9126984126984127,0.8482142857142857,0.743801652892562,0.53125
27,ATL,2005,0.625,0.6923076923076923,0.6923076923076923,0.7762237762237763,0.8865248226950354,0.7884160756501183,0.9230769230769231,0.9126984126984127,0.9126984126984127,0.265625
28,ATL,2006,0.6066666666666667,0.625,0.625,0.7086419753086419,0.8333333333333334,0.7762237762237763,0.8089430894308943,0.9230769230769231,0.9230769230769231,0.34375
29,ATL,2007,0.5952380952380952,0.48,0.6066666666666667,0.7167832167832168,0.8071743071743072,0.7086419753086419,0.7768595041322314,0.8089430894308943,0.8089430894308943,0.125
30,ATL,2008,0.9210526315789473,0.5952380952380952,0.5952380952380952,0.6584795321637427,0.6918501251834585,0.7167832167832168,0.8538461538461538,0.7768595041322314,0.7768595041322314,0.15625
31,ATL,2009,0.7894736842105263,0.9210526315789473,0.9210526315789473,0.7417534722222222,0.7944444444444444,0.6584795321637427,0.7238805970149254,0.8538461538461538,0.8538461538461538,0.53125
32,ATL,2010,0.9506172839506173,0.7894736842105263,0.7894736842105263,0.7115709459459459,0.7417534722222222,0.7417534722222222,0.8458646616541353,0.7238805970149254,0.7238805970149254,0.625
33,ATL,2011,0.9210526315789473,0.9506172839506173,0.9506172839506173,0.9318936877076411,0.8834459459459459,0.7115709459459459,0.9191176470588235,0.8458646616541353,0.8458646616541353,0.6875
